name,category,price,description
ホットコーヒー,coffee,300,香り高いホットコーヒー
アイスコーヒー,coffee,300,すっきりしたアイスコーヒー
カフェラテ,coffee,350,ミルクたっぷりのカフェラテ
カプチーノ,coffee,360,泡立ちミルクのカプチーノ
エスプレッソ,coffee,280,濃厚なエスプレッソ
アメリカーノ（ホット）,coffee,300,すっきり飲めるホットアメリカーノ
アメリカーノ（アイス）,coffee,300,冷たいアメリカーノ
カフェモカ,coffee,380,チョコレート風味のカフェモカ
キャラメルラテ,coffee,390,甘いキャラメルの香り
フラットホワイト,coffee,360,ミルク感の強いコーヒー
紅茶（ホット）,tea,280,香り豊かなホットティー
アイスティー,tea,280,冷たいアイスティー
レモンティー,tea,300,レモン風味の紅茶
ミルクティー,tea,320,まろやかなミルクティー
アールグレイ,tea,300,ベルガモット香る紅茶
ダージリン,tea,320,華やかな香りの紅茶
アッサム,tea,320,コクのある紅茶
ロイヤルミルクティー,tea,350,濃厚なミルクティー
チャイ（ホット）,tea,360,スパイス香るホットチャイ
チャイ（アイス）,tea,360,冷たいスパイスティー
ピーチティー,tea,300,甘い香りのピーチティー
緑茶（ホット）,green_tea,250,日本の定番ホット緑茶
アイス緑茶,green_tea,250,すっきりしたアイス緑茶
ほうじ茶（ホット）,green_tea,260,香ばしいほうじ茶
玄米茶,green_tea,260,香り豊かな玄米茶
抹茶ラテ,green_tea,350,甘くて飲みやすい抹茶ラテ
ほうじ茶ラテ,green_tea,350,香ばしいほうじ茶ラテ
玉露,green_tea,320,上品な旨味の玉露
煎茶（ホット）,green_tea,260,すっきりとした煎茶
アイスほうじ茶,green_tea,260,冷たいほうじ茶
抹茶（ストレート）,green_tea,300,濃厚な抹茶
ジャスミン茶,green_tea,280,華やかな香りのジャスミン茶
コーラ,softdrink,200,定番の炭酸飲料
メロンソーダ,softdrink,220,鮮やかな緑のソーダ
オレンジジュース,softdrink,220,フレッシュなオレンジジュース
アップルジュース,softdrink,220,すっきりしたリンゴジュース
ウーロン茶（アイス）,softdrink,180,さっぱりしたウーロン茶
ジンジャーエール,softdrink,200,爽やかなジンジャーの香り
グレープジュース,softdrink,220,濃厚なぶどうジュース
カルピス,softdrink,200,甘酸っぱい乳酸飲料
レモンスカッシュ,softdrink,230,レモン香る爽快ドリンク
マンゴージュース,softdrink,240,濃厚なマンゴーの甘み
アイスミルク,softdrink,200,やさしい味わいのミルク
